venue_id,venue_name,venue_url,venue_image_url,postal_code,city,admin_area,admin_area_code,country,country_code,address_line_1,address_line_2,latitude,longitude,parking_detail,accessible_seating_detail,box_office_phone,box_office_hours,accepted_payment_detail,will_call_detail,general_rule,child_rule,venue_upcoming_events
ZGIMVHtnMZeede,MorumBis,morumbis,,05653-070,,,SP,,BR,,,-23.6002654,-46.7210506,,,,,,,,,7
ZGIMVHtnMZeFaa,Suhai Music Hall,suhaimusichall,,04795-000,,,SP,,BR,,,-23.6761714,-46.6992381,,,,,,,,,3
ZGIMVHtnMZea61,BeFly Hall,befly-hall,,30330-000,,,MG,,BR,,,-19.9911873,-43.96019200000001,,,,,,,,,3
ZGIMVHtnMZeaa1,Mercado Livre Arena Pacaembu,mercadolivrearenapacaembu,,01234-010,,,SP,,BR,,,-23.5430813,-46.66506529999999,,,,,,,,,4
Z5IMVHtnMZaae,Allianz Parque,allianz-parque,,05001-200,,,SP,,BR,,,-23.5259385,-46.6789892,,,,,,,,,4
Z5IMVHtnMZ61a,Espaço Unimed -  AVCB nº774465-Alvará de Funcionamento 2024/05734-00,espacounimed,,01156-000,,,SP,,BR,,,-23.5306956,-46.6638359,,,,,,,,,6
Z5IMVHtnMZFd7,Audio,audio,,05001-100,,,SP,,BR,,,-23.5283715,-46.669667,,,,,,,,,2
Z5IMVHtnMZFev,Cine Joia,cine-joia,,01501-040,,,SP,,BR,,,-23.5528711,-46.6360441,,,,,,,,,1
Z5IMVHtnMZ17k,Circo Voador,circo-voador,,20230-060,,,RJ,,BR,,,-22.9068467,-43.1728965,,,,,,,,,1
ZGIMVHtnMZe1kd,Mister Rock,mister-rock,,30380-080,,,MG,,BR,,,-19.9192835,-43.95950759999999,,,,,,,,,1
ZGIMVHtnMZea1e,Tork n' Roll,torknroll,,80230-110,,,PR,,BR,,,-25.4444217,-49.2651438,,,,,,,,,1
KovZ917ARjF,Qualistage,http://www.ticketmaster.com.br/venue/385027,,22775-004,Rio de Janeiro,Rio de Janeiro,RJ,Brazil,BR,"Av. Ayrton Senna, 3000 - Barra da Tijuca, Rio de Janeiro",,-22.98135949,-43.36089723,,,,,,,,,15
Z5IMVHtnMZ1FA,Tokio Marine Hall,https://ticketmaster.com.br/venue/tokio-marine-hall,,04727-002,,,SP,,BR,,,-23.63847,-46.71997469999999,,,,,,,,,15
ZGIMVHtnMZdve1,Recreativo Campestre,recreativo-campestre,,18045-62,,,SP,,BR,,,-23.5260621,-47.4854527,,,,,,,,,2
ZGIMVHtnMZevAa,Multiplan Hall Ribeirão Shopping,https://ticketmaster.com.br/venue/multiplan-hall,,14026-900,,,SP,,BR,,,-21.2119833,-47.815878,,,,,,,,,9
ZGIMVHtnMZdeAF,Estacionamento da Arena BRB Mané Garrincha,estacionamento-da-arena-brb-mane-garrincha,,70655-775,,,DF,,BR,,,-15.7791532,-47.8997799,,,,,,,,,2
ZGIMVHtnMZee1a,Multiplan Hall Park Shopping São Caetano,multiplan-hall-sc,,08295-005,,,SP,,BR,,,-23.6235722,-46.5816865,,,,,,,,,5
Z5IMVHtnMZ1k6,Live Curitiba,live-curitiba,,81070-190,,,PR,,BR,,,-25.4818157,-49.2938475,,,,,,,,,1
ZGIMVHtnMZeF17,Assembleia Paraense,assembleia-paraense,,66613-710,,,PA,,BR,,,-1.4134048,-48.44304,,,,,,,,,2
Z5IMVHtnMZFad,Vivo Rio,https://dashboard.ticketmaster.com.br/venue/vivo-rio,,20021-140,,,RJ,,BR,,,-22.9435656,-43.1741997,,,,,,,,,3
ZGIMVHtnMZek61,Auditório Araújo Vianna,auditorio-arajo-vianna,,90010-150,,,RS,,BR,,,-29.9778732,-51.1239128,,,,,,,,,1
ZGIMVHtnMZdd61,Cine Lido,cine-lido,,80020-250,,,PR,,BR,,,-25.4297578,-49.2690632,,,,,,,,,1
ZGIMVHtnMZed6d,Centro de Convenções Ulysses Guimarães,centro-de-convenes-ulysses-guimares,,70655-775,,,DF,,BR,,,-15.7882292,-47.90059249999999,,,,,,,,,2
ZGIMVHtnMZddFv,Teatro Riachuelo,teatro-riachuelo,,59051-000,,,RN,,BR,,,-5.807993,-35.2180655,,,,,,,,,1
ZGIMVHtnMZdva7,Teatro Guararapes - Pernambuco Centro de Convenções,teatro-guararapes---pernambuco-centro-de-convenes,,53110-970,,,PE,,BR,,,-8.0288735,-34.8684226,,,,,,,,,1
ZGIMVHtnMZd7va,Garden Eventos,garden-eventos,,85506-577,,,PR,,BR,,,-26.2429468,-52.6562792,,,,,,,,,1
ZGIMVHtnMZddka,Black Cap Eventos,black-cap-eventos,,85802-170,,,PR,,BR,,,-24.9399849,-53.4683481,,,,,,,,,1
Z5IMVHtnMZ1dv,Autódromo de Interlagos,autdromo-de-interlagos,,04792-100,,,SP,,BR,,,-23.7033489,-46.7002579,,,,,,,,,9
Z5IMVHtnMZ1ka,Farmasi Arena,famasi-arena,,22775-040,,,RJ,,BR,,,-22.9736753,-43.3661693,,,,,,,,,6
ZGIMVHtnMZevFk,Casa de Apostas Arena Fonte Nova,casa-de-apostas-arena-fonte-nova,,40050-565,,,BA,,BR,,,-12.97723,-38.5039171,,,,,,,,,3
ZGIMVHtnMZdvak,Centro de Formação Olímpica,centro-de-formao-olmpica,,60861-770,,,CE,,BR,,,-3.7900893,-38.5172568,,,,,,,,,2
ZGIMVHtnMZeeev,Pedreira Paulo Leminski,pedreirapauloleminski,,82130-010,,,PR,,BR,,,-25.387682,-49.2687985,,,,,,,,,3
ZGIMVHtnMZevFA,Arena BRB Mané Garrincha,arena-brb-man-garrincha,,70070-701,,,DF,,BR,,,-15.7662824,-47.8829416,,,,,,,,,3
Z5IMVHtnMZava,Arena MRV,arena-mrv,,30855-440,,,MG,,BR,,,-19.9305518,-44.0171905,,,,,,,,,3
ZGIMVHtnMZev7d,Arena Opus,arena-opus,,88122-001,,,SC,,BR,,,-27.6097062,-48.6566223,,,,,,,,,3
ZGIMVHtnMZevFd,Hangar,hangar,,66613-902,,,PA,,BR,,,-1.4267074,-48.4544214,,,,,,,,,1
ZGIMVHtnMZevd1,Classic Hall,classic-hall,,53110-710,,,PE,,BR,,,-8.0288698,-34.8659699,,,,,,,,,3
ZGIMVHtnMZe1Fk,The Cavern Club,the-cavern-club,,04551-000,,,SP,,BR,,,-23.5951293,-46.6836749,,,,,,,,,4
ZGIMVHtnMZdde6,Luna Live,luna-live,,89202-200,,,SC,,BR,,,-26.309054,-48.84201729999999,,,,,,,,,1
ZGIMVHtnMZeaeF,Santos Convention Center,santos-convention-center,,11030-200,,,SP,,BR,,,-23.9856159,-46.2948909,,,,,,,,,1
ZGIMVHtnMZdd1k,Manouche,manouche,,22470-051,,,RJ,,BR,,,-22.9602226,-43.2054076,,,,,,,,,2
ZGIMVHtnMZeAFF,Casa Natura Musical,casa-natura,,05404-005,,,SP,,BR,,,-23.5585155,-46.6746439,,,,,,,,,1
ZGIMVHtnMZeAa6,Royal Palm Hall,royal-palm-hall,,13051-093,,,SP,,BR,,,-22.9393439,-47.0718419,,,,,,,,,1
ZGIMVHtnMZdeF6,Cine Theatro Central,cine-theatro-central,,36010-150,,,MG,,BR,,,-21.7601045,-43.3429891,,,,,,,,,1
ZGIMVHtnMZd7d7,FLY 51,fly-51,,90240-480,,,RS,,BR,,,-30.0066207,-51.1886668,,,,,,,,,1
ZGIMVHtnMZed6v,Parque Permanente de Exposições,parque-permanente-de-exposicoes,,14078-580,,,SP,,BR,,,-21.149388,-47.7706708,,,,,,,,,1
ZGIMVHtnMZddkd,Estacionamento do Jaraguá,estacionamento-do-jaragu,,57022-150,,,AL,,BR,,,-9.6715131,-35.7250355,,,,,,,,,1
ZGIMVHtnMZdvva,Estádio Beira-Rio,estdio-beira-rio,,90810-240,,,RS,,BR,,,-30.0600796,-51.2310372,,,,,,,,,1
ZGIMVHtnMZdd66,Marina Park,marina-park,,60312-060,,,CE,,BR,,,-3.7226443,-38.5229201,,,,,,,,,1
Z5IMVHtnMZ1d1,Venue test 2,https://dashboard.ticketmaster.com.br/venue/venue-test-2,,04263,,,SP,,BR,,,-23.5798443,-46.6080003,,,,,,,,,1
ZGIMVHtnMZedFF,Teste,https://dashboard.ticketmaster.com.br/venue/test,,05653-070,,,SP,,BR,,,-23.6011621,-46.7189939,,,,,,,,,1
KovZ917ARN1,NOVENUE,http://www.ticketmaster.com.br/venue/385024,,NONE,Nocity,São Paulo,SP,Brazil,BR,Venue Address1,Venue Address2,,,,,,,,,,,1
Z5IMVHtnMZAed,,https://www.ticketmaster.cl/venue/estadio-nacional,,7780464,,,RM,,CL,,,-33.4623913,-70.6113274,,,,,,,,,5
Z5IMVHtnMZAFF,,https://www.ticketmaster.cl/venue/estadio-bicentenario-la-florida,,8150215,,,RM,,CL,,,-33.5403982,-70.5779927,,,,,,,,,3
KovZpZAJn7nA,Parque Fundidora,https://www.ticketmaster.com.mx/parque-fundidora-tickets-monterrey/venue/164130,,61010,Monterrey,Nuevo León,NL,Mexico,MX,Av. Fundidora s/n Col. Obrera,,25.67687030,-100.28999330,Dentro del Parque Fundidora,,,,Efectivo y tarjetas de crédito.,,,,27
